,id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end
0,172930,300063.XSHE,2020-03-31,2020-04-29,2020-03-31,2376895978.24,,,,,,,,,,,2984821.74,46583622.73,2426464422.71,2353665862.13,,,,,,62377115.29,20591818.79,23938081.01,2460572877.22,-34108454.51,,,,,,,813945.64,,,,844708.8,1658654.44,-1658654.44,4900000.0,,65190125.6,,,70090125.6,52409138.53,7800719.44,,,60209857.97,9880267.63,149346.23,-25737495.09,165710302.46,139972807.37
0,106597,300064.XSHE,2017-06-30,2017-08-18,2017-06-30,262992960.0,,,,,,,,,,,1124264.25,-5996363.5,258120864.0,148407856.0,,,,,,20849528.0,25088932.0,2158494.0,196504816.0,61616052.0,,27270688.0,1917.0,,,27272604.0,34133152.0,,,,190500128.0,224633280.0,-197360672.0,,,306649984.0,,63000000.0,369649984.0,324481952.0,14722828.0,,108823104.0,448027872.0,-78377880.0,-122648.2734,-214245152.0,1113050880.0,902047616.0
0,147080,300064.XSHE,2019-06-30,2019-08-22,2019-06-30,236602255.35,,,,,,,,,,,,1787392.28,238389647.63,260912021.42,,,,,,33174082.91,7367707.09,352619865.14,654073676.56,-415684028.93,0.0,2100833.33,34728.0,,484005797.08,486141358.41,449858170.88,0.0,,,,449858170.88,36283187.53,,,231000000.0,,,231000000.0,162352691.45,13590138.03,,-334958877.51,-159016048.03,390016048.03,2064.31,10617270.94,628829586.54,405197336.98
0,174258,300064.XSHE,2020-03-31,2020-04-30,2020-03-31,88342318.99,,,,,,,,,,,,2233786.5,90576105.49,26457456.5,,,,,,20516183.21,14872149.71,16204649.59,78050439.01,12525666.48,,9442.14,12200.0,,2000000.0,2021642.14,8209729.28,5000.0,,,,8214729.28,-6193087.14,,,18401358.83,,,18401358.83,20619226.41,6176356.64,,,26795583.05,-8394224.22,1788.05,-2059856.83,6311472.26,4251615.43
0,190642,300064.XSHE,2020-06-30,2020-08-28,2020-06-30,65244400.66,,,,,,,,,,,,10118164.09,75367392.63,19576259.98,,,,,,18571071.99,15336487.98,14074446.38,67558266.33,7809126.3,,6840.95,3150.0,,,-1990009.05,1657067.43,,,,,3452067.43,-5442076.48,,,0.0,,,0.0,3019363.39,1029328.46,,,4048691.85,-4048691.85,965.8,-1680676.23,4251615.43,2570939.2
0,103715,300066.XSHE,2017-03-31,2017-04-27,2017-03-31,119726280.0,,,,,,,,,,,4259351.5,9901471.0,133887104.0,87863440.0,,,,,,34267684.0,18358986.0,27262238.0,167752352.0,-33865248.0,190000000.0,1117305.875,800.0,,224500000.0,415618112.0,28417314.0,350000000.0,,,220500000.0,598917312.0,-183299216.0,,,,,,,,,,,,,-2841.73,-217167296.0,359626080.0,142458784.0
0,132750,300066.XSHE,2018-09-30,2018-10-23,2018-09-30,183984281.36,,,,,,,,,,,5345294.81,14750814.6,204080390.77,123916535.61,,,,,,27443283.19,11395300.22,19740552.75,182495671.77,21584719.0,222500000.0,4973867.57,,,148500000.0,375973867.57,4412927.45,220000000.0,,,179000000.0,403412927.45,-27439059.88,,,,,,,,0.0,0.0,,0.0,0.0,75053.77,-5779287.11,168430497.97,162651210.86
0,44018,300067.XSHE,2015-06-30,2015-08-26,2015-06-30,68540848.0,,,,,,,,,,,,1092573.75,69633424.0,34339156.0,,,,,,16771915.0,25122258.0,16766389.0,92999720.0,-23366292.0,,,18594.0,,,18594.0,42698852.0,,,,,42698852.0,-42680260.0,12125000.0,,95000000.0,,,107125000.0,25000000.0,17244510.0,,,42244508.0,64880492.0,98709.8594,-1067351.125,0.0,-1067351.125
0,44016,300067.XSHE,2015-12-31,2016-03-25,2015-12-31,117522608.0,,,,,,,,,,,,9891605.0,127414216.0,37533688.0,,,,,,18176904.0,6410249.0,34766492.0,96887336.0,30526878.0,,,61733.5,900000.0,,961733.5,47502688.0,,,,,47502688.0,-46540952.0,13000000.0,,110000000.0,,,123000000.0,0.0,2877608.25,,,2877608.25,120122392.0,98517.25,104206832.0,0.0,104206832.0
0,171688,300069.XSHE,2019-12-31,2020-04-28,2019-12-31,73544016.04,,,,,,,,,,,-175796.45,1628601.72,74996821.31,30522537.16,,,,,,7645491.45,6656231.87,4256043.97,49080304.45,25916516.86,10000000.0,1150872.06,22400970.88,,,73804676.27,2187809.5,12000000.0,,0.0,,56553456.56,17251219.71,,,5000000.0,,,5000000.0,4000000.0,1795382.12,0.0,,5795382.12,-795382.12,-15021.09,42357333.36,48142934.47,90500267.83
0,127508,300070.XSHE,2018-06-30,2018-08-08,2018-06-30,2041767959.4,,,,,,,,,,,2343895.16,202110595.23,2246222449.79,1660055432.48,,,,,,143896520.11,196016082.25,-31861920.13,1968106114.71,278116335.08,86281761.61,11640994.94,,,-78980497.96,18942258.59,1756253326.34,258462821.0,,,-2946663.28,2011769484.06,-1992827225.47,437110975.82,297130765.42,1988989385.0,,160000000.0,2586100360.82,811997587.62,79836050.75,,60000.0,891893638.37,1694206722.45,8338363.42,-12165804.52,5263496559.88,5251330755.36
0,101268,300071.XSHE,2016-12-31,2017-04-15,2016-12-31,1153132928.0,,,,,,,,,,,,-30085762.0,1123047168.0,738752704.0,,,,,,242667728.0,26974588.0,86465504.0,1094860544.0,28186654.0,48000000.0,,9569.3896,,,48009568.0,2667184.0,-209964400.0,,377213184.0,-120030712.0,49885272.0,-1875703.5,53662.0,53662.0,178000000.0,,-40000000.0,138053664.0,68000000.0,23644826.0,,9110000.0,100754824.0,37298836.0,1277223.875,64887008.0,,64887008.0
0,143243,300071.XSHE,2018-12-31,2019-04-27,2018-12-31,1020311042.1,,,,,,,,,,,,-179267983.86,841043058.24,446818261.64,,,,,,287724509.82,23991707.75,-69075678.61,689458800.6,151584257.64,,,12421.97,,,119374693.21,1075107.77,4070000.0,,0.0,,135541691.47,-16166998.26,,,21804000.0,0.0,104190060.0,125994060.0,84548409.54,21972166.84,,125741018.87,232261595.25,-106267535.25,962028.93,30111753.06,22981251.7,53093004.76
0,154838,300071.XSHE,2019-09-30,2019-10-30,2019-09-30,669286059.8,,,,,,,,,,,,23933689.97,693219749.77,337751568.26,,,,,,175798284.05,16685172.49,79806610.46,610041635.26,83178114.51,,,126542.0,0.0,,126542.0,466122.28,,,9300000.0,,9766122.28,-9639580.28,,,0.0,,5682691.0,5682691.0,15870592.7,6158495.74,,0.0,22029088.44,-16346397.44,3464.86,57195601.65,23766950.3,80962551.95
