,id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners
0,14762,000793.XSHE,2016-03-31,2016-04-27,2016-03-31,752060032.0,752060032.0,,,,737761472.0,464883488.0,,,,,,,,7763019.5,139314080.0,104101304.0,13210069.0,8489482.0,-10842748.0,240413680.0,-12336982.0,,243869488.0,2453917.5,568225.6875,228238.5469,245755184.0,27834518.0,217920656.0,175082336.0,42838320.0,0.0854,0.0854,-88532648.0,129388016.0,91881848.0,37506172.0
0,109115,000793.XSHE,2017-06-30,2017-08-19,2017-06-30,704075008.0,704075008.0,,,,574827392.0,388991264.0,,,,,,,,6547761.5,80057192.0,73806984.0,14163439.0,11260703.0,-3326730.75,277369472.0,10661218.0,,408565312.0,10399499.0,1072461.0,973886.0625,417892352.0,64117352.0,353775008.0,334360256.0,19414768.0,0.1657,0.1657,841419.1875,354616416.0,333940000.0,20676442.0
0,131352,000793.XSHE,2018-09-30,2018-10-27,2018-09-30,998125514.06,998125514.06,,,,1051044383.91,758411078.12,,,,,,,,6256700.11,108940326.3,78156450.0,76193544.0,15377308.52,184244.7,10517460.2,11300446.46,,-41576404.24,12710406.23,3167537.94,,-32033535.95,7975136.69,-40008672.64,-58907215.36,18898542.72,-0.0294,-0.0294,864989.54,-39143683.1,-58003280.05,18859596.95
0,155195,000793.XSHE,2019-09-30,2019-10-29,2019-09-30,852411013.91,852411013.91,,,,876593108.66,663970960.83,,,,,,,,6482394.42,42674314.4,77169537.82,73875561.48,,93869089.88,-2453959.41,-6709458.18,,104174214.8,6357093.88,10616062.32,,99915246.36,44046083.02,55869163.34,2471855.64,53397307.7,0.0012,0.0012,-1462500.0,54406663.34,1009355.64,53397307.7
0,122087,000795.XSHE,2018-03-31,2018-04-25,2018-03-31,387889107.28,387889107.28,,,,372712775.75,293108206.02,,,,,,,,2899605.14,16104281.79,60074078.04,978225.38,-451620.62,,-837189.47,,,17216866.48,4449861.37,33236.64,,21633491.21,4902017.71,16731473.5,17173088.91,-441615.41,0.015,0.015,,16731473.5,17173088.91,-441615.41
0,14856,000796.XSHE,2016-03-31,2016-04-29,2016-03-31,1229367424.0,1229367424.0,,,,1189615360.0,988090560.0,,,,,,,,10954213.0,112565056.0,64771484.0,12754562.0,479438.375,,-1048069.0,-1048069.0,,38704056.0,383408.75,182945.125,1612.05,38904520.0,13431369.0,25473150.0,16188517.0,9284634.0,0.0202,0.0202,1476443.25,26949594.0,17664960.0,9284634.0
0,95947,000796.XSHE,2016-06-30,2016-08-15,2016-06-30,1372759552.0,1372759552.0,,,,1319384960.0,1114435072.0,,,,,,,,5415254.5,126469136.0,61493608.0,11939574.0,-367707.7812,40158.9102,4782220.5,1048069.0,,58196988.0,305676.1875,118970.3906,52786.7891,58383692.0,12478256.0,45905436.0,40749288.0,5156147.0,0.0507,0.0507,1012726.0625,46918160.0,41762016.0,5156147.0
0,101629,000796.XSHE,2016-09-30,2016-10-29,2016-09-30,2428082944.0,2428082944.0,,,,2208494848.0,1992440320.0,,,,,,,,3000270.0,128463288.0,68272072.0,16303145.0,15680.8896,,,,,219588064.0,1061223.125,191666.2969,76674.3438,220457632.0,33512780.0,186944848.0,178706672.0,8238171.0,0.2225,0.2225,294329.0312,187239184.0,179001008.0,8238171.0
0,153136,000796.XSHE,2019-06-30,2019-08-31,2019-06-30,1466734915.89,1466734915.89,,,,1435102813.03,1172171393.22,,,,,,,,2957659.73,163899146.2,51067535.54,43606350.48,,,2351012.11,,,36139514.74,6720810.34,359374.6,,42500950.48,7858547.85,34642402.63,32207806.33,2434596.3,0.0401,0.0401,8435417.68,43077820.31,40643224.01,2434596.3
0,122290,000797.XSHE,2017-12-31,2018-04-25,2017-12-31,2001331382.59,2001331382.59,,,,1817578627.97,1466534032.08,,,,,,,,162072082.77,25277552.26,64196164.73,37873879.42,61624916.71,-1492823.7,-4544386.99,,,178142962.19,2508525.48,1091344.79,,179560142.88,46286618.14,133273524.74,144967260.54,-11693735.8,0.15,0.15,-4902662.65,128370862.09,140127592.34,-11756730.25
