,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,45714,300137.XSHE,2016-03-31,2016-04-26,2016-03-31,0.0287,8456466.84,10393175.48,,0.72,0.62,0.73,8.38,46.53,92.58,7.42,8.38,13.32,21.67,-0.78,84.48,,85.69,44.61,-76.92,-1036.79,53.0,-43.81,53.0,-43.81,156.97,-69.42,96.33,-59.46,46.19,-64.38
0,129153,300138.XSHE,2018-06-30,2018-08-21,2018-06-30,0.0925,42281766.36,52937087.26,,2.83,2.52,1.59,7.13,17.19,91.95,8.67,7.13,3.49,5.1,0.23,90.4,,88.95,104.46,18.06,224.25,-4.18,2.96,-4.18,2.96,16.88,21.44,55.57,0.94,8.46,1.01
0,123848,300139.XSHE,2018-03-31,2018-04-24,2018-03-31,-0.0988,-26711429.8,-22752326.23,48027.39,-2.4852,-2.4533,-1.7653,-46.4124,57.4077,140.5194,-40.4338,-46.4124,5.6302,29.3799,37.7338,98.7055,-0.2084,98.7137,76.8268,-19.0685,47.0601,-22.4886,250.7153,-22.4886,250.7153,-276.4438,84.0696,-488.8161,85.84100000000001,-488.402,83.5894
0,134116,300139.XSHE,2018-09-30,2018-10-30,2018-09-30,0.08,19901843.67,16504574.94,44934.26,1.81,1.75,1.42,46.3,12.93,63.1,38.85,46.3,2.83,25.36,-82.28,95.02,0.26,96.59,87.18,54.15,146.74,7.73,-34.52,7.73,-34.52,150.3,-28.18,181.92,-26.38,179.33,-27.21
0,255481,300139.XSHE,2019-06-30,2019-08-30,2019-06-30,-0.1685,-46146020.64,-45718931.74,366704.49,-4.16,-4.15,-3.42,-205.01,15.74,298.51,-196.86,-205.01,3.35,76.31,24.26,100.71,-0.81,99.98,92.45,-100.66,50.71,-66.28,21.57,-66.28,21.57,-287.41,-1834.81,-267.86,-1896.37,-263.06,-32316.16
0,292820,300139.XSHE,2019-12-31,2020-04-29,2019-12-31,-0.14,9816883.96,60722407.03,-47152703.32,-3.53,0.9,-4.5,-20.08,33.16,79.36,-4.79,-20.08,0.74,5.8,5.22,-370.62,287.8,-25.59,21.18,5.59,27.1,6350.42,1151.25,6350.42,1151.25,35.86,-662.28,-194.51,-2954.7,-118.79,-997.59
0,238391,300140.XSHE,2018-12-31,2019-03-30,2018-12-31,0.1491,54125741.52,71422738.25,-3234882.96,3.6,3.48,1.18,5.8,25.11,92.83,7.35,5.8,2.78,4.81,2.42,97.73,-4.43,96.63,27.26,4.58,63.84,20.75,299.58,20.75,299.58,23.12,576.09,19.66,1126.44,16.19,3885.82
0,254476,300140.XSHE,2019-06-30,2019-08-28,2019-06-30,0.1319,51222147.64,60872303.98,-1385193.88,2.47,2.24,0.84,8.18,27.83,90.79,10.55,8.18,3.6,5.24,2.93,87.89,-2.0,90.91,81.15,-29.77,-323.11,98.64,60.93,98.64,60.93,2039.19,186.28,3562.55,368.98,2597.06,386.64
0,260784,300140.XSHE,2019-09-30,2019-10-25,2019-09-30,0.021,3702405.52,24474324.35,-2335781.19,0.39,0.16,0.23,2.7,21.63,95.66,4.34,2.7,2.58,5.86,4.01,97.41,-9.3,41.33,86.47,-26.02,-599.15,126.12,-14.7,126.12,-14.7,125.57,-64.95,223.4,-71.82,537.52,-84.1
0,293558,300140.XSHE,2019-12-31,2020-04-29,2019-12-31,-0.259,-111171420.02,34136783.37,-922551.69,-4.88,-4.9,-1.61,-11.64,25.7,96.17,-13.33,-11.64,4.49,6.91,3.01,-26.59,0.72,100.47,81.15,1.44,37.57,-10.6,57.98,-10.6,57.98,-262.0,-585.54,-279.57,-780.97,-297.54,-1335.06
0,326105,300140.XSHE,2020-06-30,2020-08-22,2020-06-30,-0.0721,-29941678.0,-9372761.25,-1676506.16,-1.41,-1.37,-0.51,-7.69,24.33,102.22,-5.74,-7.69,4.44,10.72,6.31,33.47,5.99,97.16,97.93,13.91,-627.42,-36.02,-0.44,-36.02,-0.44,-134.79,-340.02,-160.16,-1259.02,-154.7,-936.74
0,335275,300140.XSHE,2020-09-30,2020-10-23,2020-09-30,-0.4643,-198256251.23,-89629727.21,-1049872.35,-9.55,-9.55,-3.29,-53.03,8.76,123.48,-43.32,-53.03,5.8,10.69,9.2,54.08,0.63,99.95,108.79,-30.65,130.57,-32.24,-9.67,-32.24,-9.67,-776.89,-581.95,-1430.38,-523.1,-2314.14,-543.67
0,373173,300140.XSHE,2020-12-31,2021-04-23,2020-12-31,-0.6191,-275575952.69,-72826943.07,174053675.78,-14.33,-14.93,-4.91,-44.34,15.27,111.13,-15.25,-44.34,6.42,7.74,3.66,25.37,-60.62,104.19,111.92,56.28,-505.86,-26.47,71.43,-26.47,71.43,15.84,39.63,-180.08,-43.36,-139.03,-33.33
0,106273,300142.XSHE,2016-12-31,2017-04-19,2016-12-31,0.1978,100947889.96,70196657.31,63356296.62,11.49,3.82,4.7,157.89,68.02,63.7,69.06,157.89,13.56,36.78,14.73,22.2,20.04,33.2,146.36,42.42,116.86,-34.39,84.84,-34.39,84.84,117.56,242.25,138.71,456.16,141.7,524.03
0,244873,300142.XSHE,2019-03-31,2019-04-26,2019-03-31,0.0252,38633109.79,56449406.4,807148.88,0.84,0.84,0.66,26.8,76.09,67.97,32.84,26.8,33.26,21.62,1.88,97.61,1.4,99.74,114.53,-2.15,-6.7,49.72,-42.35,49.72,-42.35,83.07,-94.79,71.77,-95.05,63.03,-95.94
