,id,code,statDate,pubDate,statDate.1,cash_equivalents,settlement_provi,lend_capital,trading_assets,bill_receivable,account_receivable,advance_payment,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,interest_receivable,dividend_receivable,other_receivable,bought_sellback_assets,inventories,non_current_asset_in_one_year,other_current_assets,total_current_assets,loan_and_advance,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,other_non_current_assets,total_non_current_assets,total_assets,shortterm_loan,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,trading_liability,notes_payable,accounts_payable,advance_peceipts,sold_buyback_secu_proceeds,commission_payable,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,non_current_liability_in_one_year,other_current_liability,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,other_non_current_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,specific_reserves,surplus_reserve_fund,ordinary_risk_reserve_fund,retained_profit,foreign_currency_report_conv_diff,equities_parent_company_owners,minority_interests,total_owner_equities,total_sheet_owner_equities
0,146308,300192.XSHE,2019-06-30,2019-08-30,2019-06-30,277693132.56,,,3000000.0,25481374.01,108247433.63,12982511.94,,,,67275.0,,11800107.28,,63578552.9,,53959094.34,556809481.66,,,,4290866.61,26064048.96,,222902775.98,2963104.15,,,,,37519355.2,,596334227.21,45736233.07,15622030.78,7727589.33,964234891.16,1521044372.82,16000000.0,,,,,60000000.0,59705445.23,104873273.59,,,17684255.6,8807523.25,367778.75,,2581698.28,,,,,70000000.0,,340019974.7,273000000.0,,,,,,,273405000.0,613424974.7,242550000.0,200638610.64,,,33973339.08,,294526868.23,,771477168.7,136142229.42,907619398.12,1521044372.82
0,157421,300192.XSHE,2019-09-30,2019-10-30,2019-09-30,304168668.38,,,3000000.0,34796549.01,118185603.18,29827895.14,,,,85215.0,,5103418.83,,56022280.04,,140428301.89,691617931.47,,,,4120728.3,25327833.96,,216078084.53,3398077.47,,,,,36953710.61,,596334227.21,43594039.58,15251013.77,7232031.95,953364407.25,1644982338.72,15000000.0,,,,,95000000.0,58630865.69,184870479.77,,,10629639.17,16624947.57,313143.75,,2340937.86,,,,,35000000.0,,418410013.81,258000000.0,,,,,,,258382500.0,676792513.81,242550000.0,200638610.64,,,33973339.08,,326534422.78,,803484723.25,164705101.66,968189824.91,1644982338.72
0,108015,300194.XSHE,2017-06-30,2017-08-29,2017-06-30,209851792.0,,,,81593808.0,225066032.0,12679740.0,,,,130940.5703,,2382239.75,,391887040.0,,334435328.0,1259061504.0,,2236275.0,,,486210176.0,1789007.125,1005386624.0,21901522.0,,,,,255036928.0,99627248.0,1315446528.0,2653325.5,24120300.0,42829376.0,3257237248.0,4516298752.0,39000000.0,,,,,,114777576.0,76964712.0,,,13839157.0,57773956.0,95109.0,,76559376.0,,,,,,,379009888.0,,,,,10389611.0,52403772.0,,85829016.0,464838912.0,1189712384.0,2213607168.0,,1540094.75,49050060.0,,597550208.0,,4051459840.0,,4051459840.0,4516298752.0
0,111017,300194.XSHE,2017-09-30,2017-10-28,2017-09-30,195963626.46,,,,72748595.39,219526414.34,23616165.07,,,,372958.49,,4018563.95,,374204916.04,,469204977.67,1360690756.15,,2236275.12,,,487914864.01,1761095.09,995148899.95,21059290.59,,,,,250783543.19,102282367.29,1315446553.44,2178253.29,25853683.52,41623122.62,3246287948.11,4606978704.26,,,,,,,114015390.39,90516282.54,,,16424306.19,61461105.33,95109.0,,134836538.33,,,,,,,417348731.78,,,,,10389611.18,49689945.15,,82554030.39,499902762.17,1189712382.0,2213171686.92,,1795171.02,49050061.77,,653346640.38,,4107075942.09,,4107075942.09,4606978704.26
0,46986,300195.XSHE,2015-03-31,2015-04-24,2015-03-31,360065248.0,,,,35847660.0,435500928.0,214587360.0,,,,5794341.5,,8732092.0,,332862784.0,,185569552.0,1578960000.0,,,,,0.0,,475407072.0,27451648.0,,,,,137153600.0,,659210176.0,2630155.25,7048113.0,,1308900736.0,2887860736.0,113301600.0,,,,,77004328.0,173593744.0,22891004.0,,,4406335.5,12605178.0,,12671022.0,3011150.25,,,,,,3106051.0,422590432.0,,,,,16839018.0,12199806.0,0.0,47940172.0,470530592.0,170426192.0,1634738048.0,1764000.0,,73875960.0,,401721248.0,,2277775872.0,139554240.0,2417330176.0,2887860736.0
0,120659,300195.XSHE,2018-03-31,2018-04-26,2018-03-31,370258584.72,,,,51869928.71,455644932.77,148202438.52,,,,9052716.83,,17085136.96,,465964752.63,,1026208291.76,2544286782.9,,132500386.72,,432722132.03,397038634.64,,558332577.38,114724473.26,,59673.26,,,349041986.51,,672011004.6,16667042.05,13657416.52,,2686755326.97,5231042109.87,253000000.0,,,,,135430167.3,259266548.51,49548593.33,,,11966804.44,-3877260.59,512363.96,,150019285.05,,,,,,2217515.1,858084017.1,212382840.36,,,,,27308274.17,74180281.77,340730835.83,1198814852.93,433483630.0,2813647102.04,,,116024258.64,,512951608.19,,3827892730.44,204334526.5,4032227256.94,5231042109.87
0,128544,300198.XSHE,2018-09-30,2018-10-26,2018-09-30,356585469.11,,,,70098663.5,620282873.06,58079367.88,,,,,,88518668.49,,267903222.39,,43451788.45,1504920052.88,,,,364190658.34,244505615.48,,350671128.09,45209130.7,,,,,55743454.51,,88540863.75,6151600.63,56255336.53,479194871.75,1690462659.78,3195382712.66,425050426.78,,,,,,,43607094.33,,,7217029.41,20612137.92,,,307009113.3,,,,,,,1201011145.0,361394000.0,,22290276.86,,,528157.4,,398990040.83,1600001185.83,1031548540.0,61739200.4,,,38169486.67,,433501251.2,,1565327207.47,30054319.36,1595381526.83,3195382712.66
0,153653,300198.XSHE,2019-09-30,2019-10-25,2019-09-30,333197238.67,,,,1046438.0,508257838.1,68600076.99,,,,,,66576696.04,,184209181.24,10942552.31,61225674.47,1234055695.82,,,,619193488.56,373236997.2,,352193251.76,44881396.51,,,,,54339774.28,,40873673.47,3357139.63,85332252.37,508234211.73,2081642185.51,3315697881.33,449687631.97,,,,,226697870.68,282026099.18,22014133.74,,,7266045.05,19162741.45,1783074.41,,305177113.43,,,,,29211017.98,,1343025727.89,359077000.0,,,,426722.13,38781495.81,,411839425.56,1754865153.45,1031548540.0,61739200.4,,,38169486.67,,394093705.19,,1526138812.9,34693914.98,1560832727.88,3315697881.33
0,184032,300198.XSHE,2019-12-31,2020-04-29,2019-12-31,253960481.51,,,,,462986063.0,5977806.27,,,,,,47170344.12,,148586423.99,10590655.85,60645289.83,990575564.57,,,,586496746.54,349506366.75,,349954809.92,39310682.55,,,,,77031645.3,,,3318071.25,101990896.68,694168308.1,2202777527.09,3193353091.66,404713641.28,,,,,139228211.87,437886914.89,6776180.96,,,12047534.68,19923254.07,,,306534125.52,,,,,31250000.0,,1358359863.27,356572703.11,,,,,32768830.6,,402721393.55,1761081256.82,1031548540.0,63157035.49,,,66624667.48,,239391125.56,,1401133529.3,31138305.54,1432271834.84,3193353091.66
0,205367,300198.XSHE,2020-06-30,2020-08-28,2020-06-30,262342743.07,,,,,448229301.16,12918342.62,,,,,,27726659.99,,161947657.78,,68652533.39,983167238.01,,,,606817601.55,448506789.52,,331338454.58,43211007.47,,,,,74855392.43,,,2829240.93,108587332.65,743570240.39,2360716059.52,3343883297.53,497829603.71,,,,,182000000.0,324147304.07,,,,7009208.96,12533116.48,,,307381174.06,,,,,61790443.81,,1406238780.01,421818669.04,,30153125.0,,,31341413.63,,494536063.2,1900774843.21,1031548540.0,53680810.44,,,66624667.48,,258004588.09,,1410329060.96,32779393.36,1443108454.32,3343883297.53
